"";"x"
"830";"flatter"
"831";"close off"
"832";"award"
"833";"worry"
"834";"prepare"
"835";"try"
"836";"program"
"837";"thrive"
"838";"prostitute"
"839";"protect"
"840";"burn"
"841";"revive"
"842";"emphasize "
"843";"receive"
"844";"recycle"
"845";"gather"
"846";"reward"
"847";"reproach"
"848";"worsen"
"849";"replace"
"850";"refer"
"851";"remodel"
"852";"reinforce"
"853";"gift"
"854";"scold"
"855";"reign "
"856";"laugh"
"857";"remove"
"858";"reborn"
"859";"renew"
"860";"reprimand"
"861";"disgust "
"862";"rescue"
"863";"respect"
"864";"breathe"
"865";"sum up"
"866";"burst"
"867";"stir"
"868";"pray"
"869";"ridicule"
"870";"beg"
"871";"break"
"872";"label"
"873";"sacrifice"
"874";"leave"
"875";"stir fry"
"876";"save"
"877";"penalize"
"878";"bleed"
"879";"kidnap"
"880";"seduce"
"881";"seal "
"882";"feel "
"883";"bribe"
"884";"stand out"
"885";"survive"
"886";"help"
"887";"sob"
"888";"smile"
"889";"surprise"
"890";"subscribe to"
"891";"whisper"
"892";"fear"
"893";"tempt"
"894";"twist"
"895";"bull fight"
"896";"torture"
"897";"work"
"898";"grind"
"899";"triumph"
"900";"beat"
"901";"to verbalize"
"902";"adapt"
"903";"travel"
"904";"rape"
"905";"visualize"
"906";"enunciate"
"907";"fly"
"908";"tur"
"909";"vote"
