"","x"
"346","dificultad"
"347","diminuto"
"348","diminuta"
"349","dinámico"
"350","discreto"
"351","discreta"
"352","disfrutar"
"353","disparar"
"354","dispuesto"
"355","dispuesta"
"356","disputa"
"357","distancia"
"358","distraído"
"359","distraída"
"360","divertido"
"361","divertida"
"362","divertir"
"363","doméstico"
"364","doméstica"
"365","donar"
"366","dormilón"
"367","dormilóna"
"368","drogadicto"
"369","drogadicta"
"370","ducha"
"371","duplicar"
"372","edición"
"373","ejecutar"
"374","electrocutar"
"375","elegir"
"376","elemento"
"377","elevado"
"378","elevada"
"379","elíptico"
"380","elíptica"
"381","embalar"
"382","embargo"
"383","embestir"
"384","embolia"
"385","empaquetar"
"386","empatar"
"387","emplear"
"388","enaltecer"
"389","enamorar"
"390","enano"
"391","enana"
"392","encadenado"
"393","encadenada"
"394","encantador"
"395","encantadora"
"396","encantar"
"397","encontrar"
"398","endurecer"
"399","energía"
"400","enfadar"
"401","enfermar"
"402","enfriamiento"
"403","enfurecer"
"404","engañado"
"405","engañada"
"406","engañar"
"407","engatusar"
"408","engordar"
"409","engrosar"
"410","enojo"
"411","enriquecedor"
"412","enriquecedora"
"413","enriquecer"
"414","enroscar"
"415","ensueño"
"416","entender"
"417","entero"
"418","entera"
"419","enterrar"
"420","entusiasmado"
"421","entusiasmada"
"422","entusiasmar"
"423","envenenar"
"424","enviar"
"425","envidioso"
"426","envidiosa"
"427","eructo"
"428","esbozar"
"429","escalera"
"430","esclavizar"
"431","escupir "
"432","escurridizo"
"433","escurridiza"
"434","espacial"
"435","espantar"
"436","espeso"
"437","espesa"
"438","espléndido"
"439","espléndida"
"440","espontáneo"
"441","espontánea"
"442","esquematizar"
"443","esquilar"
"444","estabilidad"
"445","estable"
"446","estación"
"447","estacionar"
"448","estafa"
"449","estallar"
"450","esterilidad"
"451","estrangular"
"452","estrecho"
"453","estrecha"
"454","estricto"
"455","estricta"
"456","estudiar"
"457","estudioso"
"458","estudiosa"
"459","euforia"
"460","exagerar"
"461","excitar"
"462","excursión"
"463","exitoso"
"464","exitosa"
"465","explicar"
"466","explosión"
"467","explosivo"
"468","explosiva"
"469","expresar"
"470","extenso"
"471","extensa"
"472","exterminar"
"473","externalizar"
"474","fallecer"
"475","falsear"
"476","fantasma"
"477","fantástico"
"478","fantástica"
"479","farsa"
"480","favorito"
"481","favorita"
"482","fe"
"483","fecha"
"484","fecundo"
"485","fecunda"
"486","felicidad"
"487","felicitar"
"488","ferrocarril"
"489","festejar"
"490","fiel"
"491","fiesta"
"492","figura"
"493","figurar"
"494","filosofía"
"495","fino"
"496","fina"
"497","firme"
"498","flirtear"
"499","forma"
"500","formal"
"501","fortaleza"
"502","fortuna"
"503","fotografía"
"504","fracasado"
"505","fracasada"
"506","frase"
"507","fraternidad"
"508","fresco"
"509","frondoso"
"510","frondosa"
"511","funeraria"
"512","furia"
"513","fusilar"
"514","ganador"
"515","ganadora"
"516","garganta"
"517","gasto"
"518","generador"
"519","generadora"
"520","genuino"
"521","genuina"
"522","giratorio"
"523","giratoria"
"524","giro"
"525","golpear"
"526","gordura"
"527","gozoso"
"528","gracia"
"529","gráfico"
"530","gráfica"
"531","grandioso"
"532","grasa"
"533","gratis"
"534","grueso"
"535","gustar"
"536","hacienda"
"537","hacinamiento"
"538","halagador"
"539","hallar"
"540","hambre"
"541","hecho"
"542","helado"
"543","herir"
"544","hidromasaje"
"545","hinchado"
"546","holgado"
"547","holgada"
"548","hondo"
"549","honda"
"550","honrado"
"551","honrada"
"552","horroroso"
"553","horrorosa"
"554","hueco"
"555","huérfano"
"556","huérfana"
"557","humanitario"
"558","humanitaria"
"559","humedecer"
"560","húmedo"
"561","húmeda"
"562","humildad"
"563","humillación"
"564","huracán"
"565","ideal"
"566","igual"
"567","igualar"
"568","ilusión"
"569","ilusionado"
"570","ilusionada"
"571","ilusionar"
"572","imaginación"
"573","impaciencia"
"574","implantar"
"575","imponer"
"576","imposibilidad"
"577","imprimir"
"578","imprudente"
"579","impuesto"
"580","incapaz"
"581","incendiar"
"582","inconsciente"
"583","increpar"
"584","inculto"
"585","inculta"
"586","incurable"
"587","infancia"
"588","infarto"
"589","infectar"
"590","infidelidad"
"591","injuria"
"592","injuriar"
"593","injusticia"
"594","inquietar"
"595","inscribir"
"596","insensato"
"597","insensata"
"598","inspeccionar"
"599","instaurar"
"600","insuficiente"
"601","insultado"
"602","insultada"
"603","íntegro"
"604","íntegra"
"605","inteligente"
"606","interferir"
"607","intimidar"
"608","inventar"
"609","invicto"
"610","invicta"
"611","ira"
"612","irrespetuoso"
"613","irrespetuosa"
"614","jabón"
"615","jeringuilla"
"616","jugar"
"617","justo"
"618","labrador"
"619","lamentar"
"620","lanzar"
"621","lapidar"
"622","lápiz"
"623","lastimar"
"624","lealtad"
"625","lectura"
"626","leer"
"627","legítimo"
"628","legítima"
"629","lerdo"
"630","lerda"
"631","lesionar"
"632","ligar"
"633","ligue"
"634","limpio"
"635","limpia"
"636","linchar"
"637","lindo"
"638","linda"
"639","linea"
"640","listo"
"641","lista"
"642","liviano"
"643","liviana"
"644","llamar"
"645","llanto"
"646","locuaz"
"647","locura"
"648","lograr"
"649","luminosidad"
"650","luminoso"
"651","luminosa"
"652","luna"
"653","luz"
"654","maceta"
"655","madre"
"656","madrugón"
"657","malestar"
"658","malévolo"
"659","malévola"
"660","malgastar"
"661","malo"
"662","mala"
"663","maloliente"
"664","maltratador"
"665","maltratadora"
"666","maltratar"
"667","malversar"
"668","manantial"
"669","mar"
"670","maravilloso"
"671","maravillosa"
"672","marcar"
"673","marginación"
"674","martirio"
"675","masaje"
"676","mascullar"
"677","matar"
"678","mecánico"
"679","mecánica"
"680","medalla"
"681","medio"
"682","meditación"
"683","mentir"
"684","mentiroso"
"685","merienda"
"686","metástasis"
"687","meticuloso"
"688","meticulosa"
"689","metralleta"
"690","metro"
"691","mimado"
"692","mimada"
"693","mitad"
"694","modular"
"695","mojado"
"696","mojada"
"697","monstruo"
"698","monstruoso"
"699","monstruosa"
"700","moqueta"
"701","morder"
"702","mortal"
"703","mover"
"704","muestrario"
"705","munición"
"706","muñeco"
"707","muñón"
"708","murmurar "
"709","muro"
"710","mutilado"
"711","mutilada"
"712","nacional"
"713","nariz"
"714","náusea"
"715","navegar"
"716","nazi"
"717","necio"
"718","necia"
"719","negativo"
"720","negativa"
"721","negociar"
"722","nivel"
"723","noche"
"724","novedoso"
"725","novedosa"
"726","número"
"727","oasis"
"728","objeto"
"729","odioso"
"730","odiosa"
"731","ofensa"
"732","oloroso"
"733","olorosa"
"734","olvidar"
"735","olvido"
"736","oncología"
"737","ondulado"
"738","ondulada"
"739","opaco"
"740","opaca"
"741","operación"
"742","oprimir"
"743","orar"
"744","original"
"745","orquídea"
"746","oruga"
"747","oscilar"
"748","otear"
"749","otitis"
"750","otorgar"
"751","ovacionar"
"752","padecer"
"753","paella"
"754","paisaje"
"755","paranormal"
"756","parásito"
"757","parcial"
"758","parecido"
"759","parecida"
"760","pasear"
"761","paseo"
"762","pavor"
"763","pedo"
"764","pegar"
"765","peinar"
"766","pelear"
"767","peligrar"
"768","peligroso"
"769","peligrosa"
"770","pelirrojo"
"771","pensión"
"772","pequeño"
"773","pequeña"
"774","perder"
"775","pérdida"
"776","perdonar"
"777","perfil"
"778","perfumado"
"779","perfumada"
"780","perjudicar"
"781","perseverar"
"782","pesadilla"
"783","pesado"
"784","pesada"
"785","pie"
"786","piropear"
"787","piropo"
"788","piscina"
"789","plenitud"
"790","poema"
"791","político"
"792","política"
"793","pólvora"
"794","posible"
"795","positivo"
"796","positiva"
"797","precintar"
"798","prejuicio"
"799","premiar"
"800","premio"
"801","preocupar"
"802","preparado"
"803","preparada"
"804","preparar"
"805","presumido"
"806","presumida"
"807","pretencioso"
"808","probar"
"809","producto"
"810","programar"
"811","prosperar"
"812","prostituir"
"813","proteger"
"814","provincia"
"815","psicópata"
"816","psicosis"
"817","puñalada"
"818","puro"
"819","purulento"
"820","pústula"
"821","quejumbroso"
"822","quemar"
"823","quieto"
"824","quimioterapia"
"825","racial"
"826","reanimar"
"827","recalcar"
"828","recibir"
"829","reciclar"
"830","recolectar"
"831","recompensar"
"832","recriminar"
"833","recrudecer"
"834","redicho"
"835","redicha"
"836","reemplazar"
"837","referir"
"838","reformar"
"839","reforzar"
"840","refrescante"
"841","regalar"
"842","regañar"
"843","reinar"
"844","reír"
"845","relación"
"846","relajación"
"847","relax"
"848","religioso"
"849","religiosa"
"850","remover"
"851","renacer"
"852","renovar"
"853","reprender"
"854","repugnancia"
"855","repugnar"
"856","repulsivo"
"857","repulsiva"
"858","rescatar"
"859","respetar"
"860","respiración"
"861","respirar"
"862","resumir"
"863","reventar"
"864","revoltoso"
"865","revoltosa"
"866","revolver"
"867","rezar"
"868","rico"
"869","ridiculizar"
"870","ridículo"
"871","ridícula"
"872","risueño"
"873","risueña"
"874","rival"
"875","rizado"
"876","rizada"
"877","robo"
"878","robusto"
"879","robusta"
"880","rogar"
"881","romper"
"882","rosa"
"883","rotular"
"884","rudo"
"885","ruda"
"886","rueda"
"887","ruin"
"888","rural"
"889","sabiduría"
"890","sacrificar"
"891","salario"
"892","salir"
"893","saltear"
"894","salvaje"
"895","salvar"
"896","sancionar"
"897","sangrar"
"898","sangre"
"899","sano"
"900","sana"
"901","satisfacción"
"902","sauna"
"903","seco"
"904","seca"
"905","secuestrar"
"906","sed"
"907","seducción"
"908","seducir"
"909","seductor"
"910","seductora"
"911","sellar"
"912","selva"
"913","sencillo"
"914","senderismo"
"915","sensato"
"916","sensata"
"917","sensibilidad"
"918","sentir"
"919","separación"
"920","septentrional"
"921","serenidad"
"922","servidumbre"
"923","sexualidad"
"924","siesta"
"925","sífilis"
"926","silencioso"
"927","silenciosa"
"928","similar"
"929","sincero"
"930","sincera"
"931","sintáctico"
"932","sintáctica"
"933","sistemático"
"934","sistemática"
"935","sobornar"
"936","soborno"
"937","sobresaliente"
"938","sobresalir"
"939","sobrevivir"
"940","socorrer"
"941","solidaridad"
"942","sollozar"
"943","sonido"
"944","sonreír"
"945","sonrisa"
"946","sorprender"
"947","sorpresa"
"948","sosiego"
"949","sospecha"
"950","sueldo"
"951","suelo"
"952","suerte"
"953","sufrimiento"
"954","superación"
"955","suscribir"
"956","suspenso"
"957","sustancia"
"958","susto"
"959","susurrar"
"960","susurro"
"961","tacaño"
"962","tacto"
"963","tarea"
"964","teatro"
"965","techo"
"966","tecla"
"967","tema"
"968","temer"
"969","temerario"
"970","temeraria"
"971","templado"
"972","templada"
"973","templanza"
"974","temporal"
"975","tenebroso"
"976","tenebrosa"
"977","tentar"
"978","ternura"
"979","terremoto"
"980","terrorismo"
"981","tétrico"
"982","tétrica"
"983","texto"
"984","timado"
"985","timada"
"986","timbre"
"987","tiranía"
"988","torcer"
"989","torcido"
"990","torcida"
"991","torear"
"992","tormento"
"993","torturado"
"994","torturada"
"995","torturar"
"996","tosco"
"997","tosca"
"998","trabajador"
"999","trabajadora"
"1000","trabajar"
"1001","traición"
"1002","tramposo"
"1003","tramposa"
"1004","tranquilidad"
"1005","transferible"
"1006","tránsfuga"
"1007","translúcido"
"1008","translúcida"
"1009","trastorno"
"1010","tristeza"
"1011","triturar"
"1012","triunfador"
"1013","triunfadora"
"1014","triunfar"
"1015","tubería"
"1016","tumbona"
"1017","turbulento"
"1018","turbulenta"
"1019","unión"
"1020","universal"
"1021","vacío"
"1022","vacía"
"1023","vago"
"1024","vaga"
"1025","valor"
"1026","vapor"
"1027","vaso"
"1028","vegetación"
"1029","vejatorio"
"1030","velas"
"1031","vencer"
"1032","verano"
"1033","verbalizar"
"1034","vergüenza"
"1035","versionar"
"1036","viajar"
"1037","viajero"
"1038","viajera"
"1039","victorioso"
"1040","victoriosa"
"1041","viejo"
"1042","vieja"
"1043","violador"
"1044","violadora"
"1045","violar"
"1046","visualizar"
"1047","viudo"
"1048","viuda"
"1049","vocalizar"
"1050","volar"
"1051","voltear"
"1052","voluptuoso"
"1053","voluptuosa"
"1054","votar "
"1055","yoga"
"1056","zopenco"
"1057","zopenca"
"1058","abandonos"
"1059","abismos"
"1060","abrazos"
"1061","abusos"
"1062","aceptaciónes"
"1063","aceras"
"1064","acnés"
"1065","acuarelas"
"1066","adulterios"
"1067","aficiónes"
"1068","agencias"
"1069","aglomeraciónes"
"1070","aguas"
"1071","aguijónes"
"1072","alarmas"
"1073","alegrías"
"1074","amarguras"
"1075","amistades"
"1076","amputaciónes"
"1077","ansiedades"
"1078","aparatos"
"1079","aperitivos"
"1080","arañas"
"1081","armonías"
"1082","aromas"
"1083","arroces"
"1084","artículos"
"1085","ataques"
"1086","atascos"
"1087","ataúdes"
"1088","átomos"
"1089","ausencias"
"1090","azulejos"
"1091","bailes"
"1092","balnearios"
"1093","barbas"
"1094","bebés"
"1095","beneficios"
"1096","bienestares"
"1097","bikinis"
"1098","bochornos"
"1099","bolas"
"1100","bosques"
"1101","botones"
"1102","bromas"
"1103","cachorros"
"1104","calaveras"
"1105","campings"
"1106","canales"
"1107","canciónes"
"1108","cansancios"
"1109","capas"
"1110","carcajadas"
"1111","catástrofes"
"1112","cefaleas"
"1113","cegueras"
"1114","celdas"
"1115","celebraciónes"
"1116","charcas"
"1117","chimeneas"
"1118","chucherías"
"1119","cines"
"1120","cirugías"
"1121","citas"
"1122","claridades"
"1123","clases"
"1124","claveles"
"1125","coacciónes"
"1126","comentarios"
"1127","compañías"
"1128","comprensiones"
"1129","comunicaciones"
"1130","condenas"
"1131","conflictos"
"1132","coordinaciones"
"1133","cosas"
"1134","cucarachas"
"1135","cuentos"
"1136","danzas"
"1137","décadas"
"1138","delfínes"
"1139","delicadezas"
"1140","delincuencias"
"1141","demencias"
"1142","democracias"
"1143","desahucios"
"1144","desamores"
"1145","desmayos"
"1146","desordenes"
"1147","despachos"
"1148","desprecios"
"1149","dictaduras"
"1150","dificultades"
"1151","disputas"
"1152","distancias"
"1153","duchas"
"1154","ediciones"
"1155","elementos"
"1156","embargos"
"1157","embolias"
"1158","energías"
"1159","enfriamientos"
"1160","enojos"
"1161","eructos"
"1162","escaleras"
"1163","estabilidades"
"1164","estaciones"
"1165","estafas"
"1166","esterilidades"
"1167","euforias"
"1168","excursiones"
"1169","explosiones"
"1170","fantasmas"
"1171","farsas"
"1172","fes"
"1173","fechas"
"1174","felicidades"
"1175","ferrocarriles"
"1176","fiestas"
"1177","figuras"
"1178","filosofías"
"1179","formas"
"1180","fortalezas"
"1181","fortunas"
"1182","fotografías"
"1183","frases"
"1184","fraternidades"
"1185","funerarias"
"1186","furias"
"1187","gargantas"
"1188","gastos"
"1189","giros"
"1190","gorduras"
"1191","gracias"
"1192","haciendas"
"1193","hacinamientos"
"1194","hambres"
"1195","hechos"
"1196","helados"
"1197","hidromasajes"
"1198","huecos"
"1199","humildades"
"1200","humillaciónes"
"1201","huracanes"
"1202","ilusiones"
"1203","imaginaciones"
"1204","impaciencias"
"1205","imposibilidades"
"1206","impuestos"
"1207","infancias"
"1208","infartos"
"1209","infidelidades"
"1210","injurias"
"1211","injusticias"
"1212","iras"
"1213","jabones"
"1214","jeringuillas"
"1215","lápices"
"1216","lealtades"
"1217","lecturas"
"1218","ligues"
"1219","lineas"
"1220","llantos"
"1221","locuras"
"1222","luminosidades"
"1223","lunas"
"1224","luces"
"1225","macetas"
"1226","madres"
"1227","madrugones"
"1228","malestares"
"1229","manantiales"
"1230","mars"
"1231","marginaciones"
"1232","martirios"
"1233","masajes"
"1234","medallas"
"1235","meditaciones"
"1236","meriendas"
"1237","metralletas"
"1238","metros"
"1239","mitades"
"1240","monstruos"
"1241","moquetas"
"1242","muestrarios"
"1243","municiones"
"1244","muñecos"
"1245","muñones"
"1246","muros"
"1247","narices"
"1248","náuseas"
"1249","niveles"
"1250","noches"
"1251","números"
"1252","objetos"
"1253","ofensas"
"1254","olvidos"
"1255","oncologías"
"1256","operaciónes"
"1257","orquídeas"
"1258","orugas"
"1259","paellas"
"1260","paisajes"
"1261","paseos"
"1262","pavores"
"1263","pedos"
"1264","pensiones"
"1265","pérdidas"
"1266","perfiles"
"1267","pesadillas"
"1268","pies"
"1269","piropos"
"1270","piscinas"
"1271","plenitudes"
"1272","poemas"
"1273","pólvoras"
"1274","prejuicios"
"1275","premios"
"1276","productos"
"1277","provincias"
"1278","puñaladas"
"1279","pústulas"
"1280","quimioterapias"
"1281","relaciones"
"1282","relajaciones"
"1283","repugnancias"
"1284","respiraciónes"
"1285","rivales"
"1286","robos"
"1287","ruedas"
"1288","sabidurías"
"1289","salarios"
"1290","sangres"
"1291","satisfacciones"
"1292","saunas"
"1293","sedes"
"1294","seducciones"
"1295","selvas"
"1296","senderismos"
"1297","sensibilidades"
"1298","separaciones"
"1299","serenidades"
"1300","servidumbres"
"1301","sexualidades"
"1302","siestas"
"1303","sobornos"
"1304","solidaridades"
"1305","sonidos"
"1306","sonrisas"
"1307","sorpresas"
"1308","sosiegos"
"1309","sospechas"
"1310","sueldos"
"1311","suelos"
"1312","suertes"
"1313","sufrimientos"
"1314","superaciones"
"1315","sustancias"
"1316","sustos"
"1317","susurros"
"1318","tactos"
"1319","tareas"
"1320","teatros"
"1321","techos"
"1322","teclas"
"1323","temas"
"1324","templanzas"
"1325","ternuras"
"1326","terremotos"
"1327","terrorismos"
"1328","textos"
"1329","timbres"
"1330","tiranías"
"1331","tormentos"
"1332","traiciones"
"1333","tranquilidades"
"1334","tránsfugas"
"1335","trastornos"
"1336","tristezas"
"1337","tuberías"
"1338","tumbonas"
"1339","uniones"
"1340","valores"
"1341","vapores"
"1342","vasos"
"1343","vegetaciones"
"1344","veranos"
"1345","vergüenzas"
"1346","yogas"
"1347","adulterados"
"1348","afamados"
"1349","afectuosos"
"1350","alentadores"
"1351","alterados"
"1352","alteradas"
"1353","amenazados"
"1354","amenazadas"
"1355","amenazadores"
"1356","amenazadoras"
"1357","amplios"
"1358","amplias"
"1359","apaciguados"
"1360","apasionados"
"1361","apasionadas"
"1362","apestosos"
"1363","apestosas"
"1364","arriesgados"
"1365","arriesgadas"
"1366","artísticos"
"1367","artísticas"
"1368","astutos"
"1369","atmosféricos"
"1370","atmosféricas"
"1371","atontados"
"1372","atontadas"
"1373","aturdidos"
"1374","aversivos"
"1375","aversivas"
"1376","avispados"
"1377","avispadas"
"1378","bellos"
"1379","bellas"
"1380","binarios"
"1381","binarias"
"1382","bondadosos"
"1383","bondadosas"
"1384","borrosos"
"1385","borrosas"
"1386","caducados"
"1387","caducadas"
"1388","calmados"
"1389","calmadas"
"1390","calmantes"
"1391","caprichosos"
"1392","caprichosas"
"1393","carismáticos"
"1394","carismáticas"
"1395","cautos"
"1396","cautas"
"1397","chistosos"
"1398","chistosas"
"1399","cifrados"
"1400","cifradas"
"1401","colorados"
"1402","coloradas"
"1403","compasivos"
"1404","compasivas"
"1405","competentes"
"1406","competitivos"
"1407","competitivas"
"1408","complacidos"
"1409","complacidas"
"1410","comunicativos"
"1411","comunicativas"
"1412","confundidos"
"1413","confundidas"
"1414","crédulos"
"1415","crédulas"
"1416","creídos"
"1417","creídas"
"1418","dañinos"
"1419","dañinas"
"1420","deliciosos"
"1421","deliciosas"
"1422","desagradables"
"1423","desahuciados"
"1424","desahuciadas"
"1425","desfavorables"
"1426","despejados"
"1427","despejadas"
"1428","despiertos"
"1429","dichosos"
"1430","diminutos"
"1431","diminutas"
"1432","dispuestos"
"1433","dispuestas"
"1434","divertidos"
"1435","divertidas"
"1436","elevados"
"1437","elevadas"
"1438","elípticos"
"1439","elípticas"
"1440","encadenados"
"1441","encadenadas"
"1442","engañados"
"1443","engañadas"
"1444","enriquecedores"
"1445","enriquecedoras"
"1446","entusiasmados"
"1447","entusiasmadas"
"1448","escurridizos"
"1449","escurridizas"
"1450","espaciales"
"1451","espesos"
"1452","espesas"
"1453","espléndidos"
"1454","espléndidas"
"1455","estables"
"1456","estrictos"
"1457","estrictas"
"1458","exitosos"
"1459","exitosas"
"1460","extensos"
"1461","extensas"
"1462","fantásticos"
"1463","fantásticas"
"1464","formales"
"1465","frondosos"
"1466","frondosas"
"1467","genuinos"
"1468","genuinas"
"1469","gozosos"
"1470","grandiosos"
"1471","gratises"
"1472","halagadores"
"1473","holgados"
"1474","holgadas"
"1475","honrados"
"1476","honradas"
"1477","horrorosos"
"1478","horrorosas"
"1479","humanitarios"
"1480","humanitarias"
"1481","ilusionados"
"1482","ilusionadas"
"1483","incapaces"
"1484","incultos"
"1485","incultas"
"1486","insuficientes"
"1487","insultados"
"1488","insultadas"
"1489","íntegros"
"1490","íntegras"
"1491","inteligentes"
"1492","irrespetuosos"
"1493","irrespetuosas"
"1494","listos"
"1495","listas"
"1496","luminosos"
"1497","luminosas"
"1498","malévolos"
"1499","malévolas"
"1500","malolientes"
"1501","maravillosos"
"1502","maravillosas"
"1503","monstruosos"
"1504","monstruosas"
"1505","novedosos"
"1506","novedosas"
"1507","odiosos"
"1508","odiosas"
"1509","ondulados"
"1510","onduladas"
"1511","paranormales"
"1512","peligrosos"
"1513","peligrosas"
"1514","perfumados"
"1515","perfumadas"
"1516","pretenciosos"
"1517","purulentos"
"1518","quejumbrosos"
"1519","quietos"
"1520","raciales"
"1521","redichos"
"1522","redichas"
"1523","refrescantes"
"1524","religiosos"
"1525","religiosas"
"1526","repulsivos"
"1527","repulsivas"
"1528","risueños"
"1529","risueñas"
"1530","robustos"
"1531","robustas"
"1532","rudos"
"1533","rudas"
"1534","rurals"
"1535","sensatos"
"1536","sensatas"
"1537","septentrionals"
"1538","silenciosos"
"1539","silenciosas"
"1540","similars"
"1541","sinceros"
"1542","sinceras"
"1543","sintácticos"
"1544","sintácticas"
"1545","templados"
"1546","templadas"
"1547","tenebrosos"
"1548","tenebrosas"
"1549","tétricos"
"1550","tétricas"
"1551","timados"
"1552","timadas"
"1553","torturados"
"1554","torturadas"
"1555","toscos"
"1556","toscas"
"1557","transferibles"
"1558","triunfadores"
