"","tweet","created","retweet","word","sentiment","cat","es","NA","logretweet"
"47",25,2017-10-02 09:00:00,0,"law","trust","llei","ley","UTF-8",0
"48",25,2017-10-02 09:00:00,0,"hate","anger","odi","odio","UTF-8",0
"49",25,2017-10-02 09:00:00,0,"hate","disgust","odi","odio","UTF-8",0
"50",25,2017-10-02 09:00:00,0,"hate","fear","odi","odio","UTF-8",0
"51",25,2017-10-02 09:00:00,0,"hate","sadness","odi","odio","UTF-8",0
"52",26,2017-10-19 23:00:00,0,"law","trust","llei","ley","UTF-8",0
"53",26,2017-10-19 23:00:00,0,"baby","joy","nadó","bebé","UTF-8",0
"54",27,2017-10-01 15:00:00,17,"force","anger","força","fuerza","UTF-8",2.89037175789616
"55",27,2017-10-01 15:00:00,17,"force","fear","força","fuerza","UTF-8",2.89037175789616
"56",28,2017-10-11 16:00:00,2,"rule","trust","regla","regla","UTF-8",1.09861228866811
"57",28,2017-10-11 16:00:00,2,"law","trust","llei","ley","UTF-8",1.09861228866811
"58",29,2017-10-17 10:00:00,0,"law","trust","llei","ley","UTF-8",0
"59",30,2017-10-17 10:00:00,1,"resources","joy","recursos","recursos","UTF-8",0.693147180559945
"60",30,2017-10-17 10:00:00,1,"law","trust","llei","ley","UTF-8",0.693147180559945
"61",32,2017-10-01 21:00:00,0,"lost","sadness","perdre","perdió","UTF-8",0
"62",33,2017-10-14 14:00:00,0,"moral","anger","moral","moral","UTF-8",0
"63",33,2017-10-14 14:00:00,0,"moral","trust","moral","moral","UTF-8",0
"64",33,2017-10-14 14:00:00,0,"corruption","disgust","corrupció","corrupción","UTF-8",0
"65",34,2017-10-01 21:00:00,0,"good","joy","bo","bueno","UTF-8",0
"66",34,2017-10-01 21:00:00,0,"good","surprise","bo","bueno","UTF-8",0
"67",35,2017-10-05 14:00:00,0,"oppression","anger","opressió","opresión","UTF-8",0
"68",35,2017-10-05 14:00:00,0,"oppression","disgust","opressió","opresión","UTF-8",0
"69",35,2017-10-05 14:00:00,0,"oppression","fear","opressió","opresión","UTF-8",0
"70",35,2017-10-05 14:00:00,0,"oppression","sadness","opressió","opresión","UTF-8",0
"71",35,2017-10-05 14:00:00,0,"result","anticipation","resultat","resultado","UTF-8",0
"72",35,2017-10-05 14:00:00,0,"majority","trust","majoria","mayoria","UTF-8",0
"73",37,2017-10-04 00:00:00,0,"truth","trust","veritat","verdad","UTF-8",0
"74",39,2017-10-16 11:00:00,0,"festival","joy","Festival","festival","UTF-8",0
"75",39,2017-10-16 11:00:00,0,"festival","surprise","Festival","festival","UTF-8",0
"76",44,2017-10-08 22:00:00,0,"law","trust","llei","ley","UTF-8",0
"77",47,2017-10-02 11:00:00,0,"sadly","sadness","tristament","tristemente","UTF-8",0
"78",48,2017-10-18 06:00:00,0,"law","trust","llei","ley","UTF-8",0
"79",48,2017-10-18 06:00:00,0,"law","trust","llei","ley","UTF-8",0
"80",49,2017-10-06 14:00:00,0,"chaos","anger","caos","caos","UTF-8",0
"81",49,2017-10-06 14:00:00,0,"chaos","fear","caos","caos","UTF-8",0
"82",49,2017-10-06 14:00:00,0,"chaos","sadness","caos","caos","UTF-8",0
"83",50,2017-10-18 15:00:00,1,"destroyed","anger","destruït","destruido","UTF-8",0.693147180559945
"84",50,2017-10-18 15:00:00,1,"destroyed","fear","destruït","destruido","UTF-8",0.693147180559945
"85",50,2017-10-18 15:00:00,1,"destroyed","sadness","destruït","destruido","UTF-8",0.693147180559945
"86",50,2017-10-18 15:00:00,1,"noble","trust","noble","noble","UTF-8",0.693147180559945
"87",50,2017-10-18 15:00:00,1,"mob","anger","multitud","multitud","UTF-8",0.693147180559945
"88",51,2017-10-13 11:00:00,0,"attack","anger","atac","ataque","UTF-8",0
"89",51,2017-10-13 11:00:00,0,"attack","fear","atac","ataque","UTF-8",0
"90",51,2017-10-13 11:00:00,0,"law","trust","llei","ley","UTF-8",0
"91",52,2017-10-09 21:00:00,25,"doomed","fear","condemnat","condenado","UTF-8",3.25809653802148
"92",52,2017-10-09 21:00:00,25,"doomed","sadness","condemnat","condenado","UTF-8",3.25809653802148
"93",55,2017-10-01 23:00:00,65,"violent","anger","violent","violento","UTF-8",4.18965474202643
"94",55,2017-10-01 23:00:00,65,"violent","disgust","violent","violento","UTF-8",4.18965474202643
"95",55,2017-10-01 23:00:00,65,"violent","fear","violent","violento","UTF-8",4.18965474202643
"96",55,2017-10-01 23:00:00,65,"violent","surprise","violent","violento","UTF-8",4.18965474202643
"97",56,2017-10-07 11:00:00,0,"dirty","disgust","brut","sucio","UTF-8",0
"98",56,2017-10-07 11:00:00,0,"law","trust","llei","ley","UTF-8",0
"99",56,2017-10-07 11:00:00,0,"beauty","joy","bellesa","belleza","UTF-8",0
"100",56,2017-10-07 11:00:00,0,"whore","disgust","","puta","UTF-8",0
"101",59,2017-10-09 22:00:00,0,"martial","anger","marcial","marcial","UTF-8",0
"102",59,2017-10-09 22:00:00,0,"law","trust","llei","ley","UTF-8",0
"103",59,2017-10-09 22:00:00,0,"coercion","anger","coerció","coerción","UTF-8",0
"104",59,2017-10-09 22:00:00,0,"coercion","disgust","coerció","coerción","UTF-8",0
"105",59,2017-10-09 22:00:00,0,"coercion","fear","coerció","coerción","UTF-8",0
"106",59,2017-10-09 22:00:00,0,"coercion","sadness","coerció","coerción","UTF-8",0
"107",60,2017-10-16 09:00:00,0,"constitutional","trust","constitucional","constitucional","UTF-8",0
"108",60,2017-10-16 09:00:00,0,"law","trust","llei","ley","UTF-8",0
"109",61,2017-10-19 19:00:00,0,"awful","anger","horrible","horrible","UTF-8",0
"110",61,2017-10-19 19:00:00,0,"awful","disgust","horrible","horrible","UTF-8",0
"111",61,2017-10-19 19:00:00,0,"awful","fear","horrible","horrible","UTF-8",0
"112",61,2017-10-19 19:00:00,0,"awful","sadness","horrible","horrible","UTF-8",0
"113",61,2017-10-19 19:00:00,0,"law","trust","llei","ley","UTF-8",0
"114",62,2017-10-02 07:00:00,0,"disgust","anger","fàstic","asco","UTF-8",0
"115",62,2017-10-02 07:00:00,0,"disgust","disgust","fàstic","asco","UTF-8",0
"116",62,2017-10-02 07:00:00,0,"disgust","fear","fàstic","asco","UTF-8",0
"117",62,2017-10-02 07:00:00,0,"disgust","sadness","fàstic","asco","UTF-8",0
"118",62,2017-10-02 07:00:00,0,"repression","fear","repressió","represión","UTF-8",0
"119",63,2017-10-08 20:00:00,1,"law","trust","llei","ley","UTF-8",0.693147180559945
"120",63,2017-10-08 20:00:00,1,"rabid","anger","rabiós","rabioso","UTF-8",0.693147180559945
"121",63,2017-10-08 20:00:00,1,"rabid","disgust","rabiós","rabioso","UTF-8",0.693147180559945
"122",63,2017-10-08 20:00:00,1,"rabid","fear","rabiós","rabioso","UTF-8",0.693147180559945
"123",63,2017-10-08 20:00:00,1,"rabid","sadness","rabiós","rabioso","UTF-8",0.693147180559945
"124",64,2017-10-11 08:00:00,0,"team","trust","equip","equipo","UTF-8",0
"125",68,2017-10-01 20:00:00,0,"defense","anger","defensa","defensa","UTF-8",0
"126",68,2017-10-01 20:00:00,0,"defense","fear","defensa","defensa","UTF-8",0
"127",69,2017-10-18 18:00:00,0,"excellent","joy","excel·lent","excelente","UTF-8",0
"128",69,2017-10-18 18:00:00,0,"excellent","trust","excel·lent","excelente","UTF-8",0
"129",69,2017-10-18 18:00:00,0,"quote","surprise","citar","citar","UTF-8",0
"130",69,2017-10-18 18:00:00,0,"law","trust","llei","ley","UTF-8",0
"131",74,2017-10-13 16:00:00,2,"law","trust","llei","ley","UTF-8",1.09861228866811
"132",75,2017-10-18 21:00:00,0,"destroyed","anger","destruït","destruido","UTF-8",0
"133",75,2017-10-18 21:00:00,0,"destroyed","fear","destruït","destruido","UTF-8",0
"134",75,2017-10-18 21:00:00,0,"destroyed","sadness","destruït","destruido","UTF-8",0
"135",76,2017-10-02 00:00:00,0,"hot","anger","calenta","caliente","UTF-8",0
"136",77,2017-10-06 08:00:00,1,"law","trust","llei","ley","UTF-8",0.693147180559945
"137",78,2017-10-01 18:00:00,0,"freedom","joy","llibertat","libertad","UTF-8",0
"138",78,2017-10-01 18:00:00,0,"freedom","trust","llibertat","libertad","UTF-8",0
"139",81,2017-10-11 07:00:00,0,"law","trust","llei","ley","UTF-8",0
"140",81,2017-10-11 07:00:00,0,"humanity","joy","humanitat","humanidad","UTF-8",0
"141",81,2017-10-11 07:00:00,0,"humanity","trust","humanitat","humanidad","UTF-8",0
"142",82,2017-10-10 19:00:00,0,"pride","joy","orgull","orgullo","UTF-8",0
"143",83,2017-10-07 11:00:00,1,"protected","trust","protegit","protegido","UTF-8",0.693147180559945
"144",83,2017-10-07 11:00:00,1,"threat","anger","amenaça","amenaza","UTF-8",0.693147180559945
"145",83,2017-10-07 11:00:00,1,"threat","fear","amenaça","amenaza","UTF-8",0.693147180559945
"146",83,2017-10-07 11:00:00,1,"result","anticipation","resultat","resultado","UTF-8",0.693147180559945
"147",84,2017-10-19 14:00:00,1,"law","trust","llei","ley","UTF-8",0.693147180559945
"148",85,2017-10-06 16:00:00,5,"anxious","anticipation","ansiós","ansioso","UTF-8",1.79175946922805
"149",85,2017-10-06 16:00:00,5,"anxious","fear","ansiós","ansioso","UTF-8",1.79175946922805
"150",86,2017-10-11 14:00:00,0,"chance","surprise","oportunitat","oportunidad","UTF-8",0
"151",88,2017-10-10 09:00:00,0,"cautious","anticipation","cautelós","cauteloso","UTF-8",0
"152",88,2017-10-10 09:00:00,0,"cautious","trust","cautelós","cauteloso","UTF-8",0
"153",89,2017-10-19 12:00:00,0,"break","surprise","descans","descanso","UTF-8",0
"154",90,2017-10-11 22:00:00,0,"law","trust","llei","ley","UTF-8",0
"155",90,2017-10-11 22:00:00,0,"pretty","joy","bella","bonita","UTF-8",0
"156",91,2017-10-12 09:00:00,0,"child","joy","nen","niño","UTF-8",0
"157",91,2017-10-12 09:00:00,0,"law","trust","llei","ley","UTF-8",0
"158",92,2017-10-12 01:00:00,14,"ultimate","sadness","últim","último","UTF-8",2.70805020110221
"159",93,2017-10-10 15:00:00,0,"respect","joy","respecte","respeto","UTF-8",0
"160",93,2017-10-10 15:00:00,0,"respect","trust","respecte","respeto","UTF-8",0
"161",93,2017-10-10 15:00:00,0,"law","trust","llei","ley","UTF-8",0
"162",94,2017-10-09 11:00:00,0,"law","trust","llei","ley","UTF-8",0
"163",95,2017-10-02 10:00:00,2,"solidarity","trust","solidaritat","solidaridad","UTF-8",1.09861228866811
"164",96,2017-10-11 13:00:00,0,"rule","trust","regla","regla","UTF-8",0
"165",97,2017-10-12 12:00:00,2,"rule","trust","regla","regla","UTF-8",1.09861228866811
"166",97,2017-10-12 12:00:00,2,"law","trust","llei","ley","UTF-8",1.09861228866811
"167",99,2017-10-12 10:00:00,0,"competition","anticipation","competència","competencia","UTF-8",0
"168",101,2017-10-05 13:00:00,0,"law","trust","llei","ley","UTF-8",0
"169",102,2017-10-03 07:00:00,0,"avoid","fear","evitar","evitar","UTF-8",0
"170",102,2017-10-03 07:00:00,0,"force","anger","força","fuerza","UTF-8",0
"171",102,2017-10-03 07:00:00,0,"force","fear","força","fuerza","UTF-8",0
"172",105,2017-10-13 13:00:00,12,"sanctuary","joy","santuari","santuario","UTF-8",2.56494935746154
"173",105,2017-10-13 13:00:00,12,"sanctuary","trust","santuari","santuario","UTF-8",2.56494935746154
"174",105,2017-10-13 13:00:00,12,"law","trust","llei","ley","UTF-8",2.56494935746154
"175",106,2017-10-18 20:00:00,0,"save","joy","salvar","salvar","UTF-8",0
"176",106,2017-10-18 20:00:00,0,"save","trust","salvar","salvar","UTF-8",0
"177",107,2017-10-16 09:00:00,2,"law","trust","llei","ley","UTF-8",1.09861228866811
"178",108,2017-10-17 19:00:00,0,"law","trust","llei","ley","UTF-8",0
"179",109,2017-10-13 07:00:00,0,"constitutional","trust","constitucional","constitucional","UTF-8",0
"180",110,2017-10-02 01:00:00,1,"legal","trust","legal","legal","UTF-8",0.693147180559945
"181",111,2017-10-12 00:00:00,0,"court","anger","tall","Corte","UTF-8",0
"182",111,2017-10-12 00:00:00,0,"court","fear","tall","Corte","UTF-8",0
"183",111,2017-10-12 00:00:00,0,"justice","trust","justícia","justicia","UTF-8",0
"184",111,2017-10-12 00:00:00,0,"destruction","anger","destrucció","destrucción","UTF-8",0
"185",112,2017-10-10 09:00:00,16,"birth","fear","naixement","nacimiento","UTF-8",2.83321334405622
"186",112,2017-10-10 09:00:00,16,"birth","joy","naixement","nacimiento","UTF-8",2.83321334405622
"187",113,2017-10-07 14:00:00,0,"law","trust","llei","ley","UTF-8",0
"188",114,2017-10-03 19:00:00,0,"afraid","fear","espantat","asustado","UTF-8",0
"189",115,2017-10-06 15:00:00,0,"warned","anticipation","previngut","prevenido","UTF-8",0
"190",115,2017-10-06 15:00:00,0,"warned","surprise","previngut","prevenido","UTF-8",0
"191",115,2017-10-06 15:00:00,0,"challenge","anger","repte","reto","UTF-8",0
"192",115,2017-10-06 15:00:00,0,"challenge","fear","repte","reto","UTF-8",0
"193",116,2017-10-13 08:00:00,0,"death","anger","mort","muerte","UTF-8",0
"194",116,2017-10-13 08:00:00,0,"death","anticipation","mort","muerte","UTF-8",0
"195",116,2017-10-13 08:00:00,0,"death","disgust","mort","muerte","UTF-8",0
"196",116,2017-10-13 08:00:00,0,"death","fear","mort","muerte","UTF-8",0
"197",116,2017-10-13 08:00:00,0,"death","sadness","mort","muerte","UTF-8",0
"198",116,2017-10-13 08:00:00,0,"death","surprise","mort","muerte","UTF-8",0
"199",116,2017-10-13 08:00:00,0,"illegal","anger","il·legal","ilegal","UTF-8",0
"200",116,2017-10-13 08:00:00,0,"illegal","disgust","il·legal","ilegal","UTF-8",0
"201",116,2017-10-13 08:00:00,0,"illegal","fear","il·legal","ilegal","UTF-8",0
"202",116,2017-10-13 08:00:00,0,"illegal","sadness","il·legal","ilegal","UTF-8",0
"203",116,2017-10-13 08:00:00,0,"law","trust","llei","ley","UTF-8",0
"204",117,2017-10-01 19:00:00,0,"feeling","anger","sensació","","UTF-8",0
"205",117,2017-10-01 19:00:00,0,"feeling","disgust","sensació","","UTF-8",0
"206",117,2017-10-01 19:00:00,0,"feeling","fear","sensació","","UTF-8",0
"207",117,2017-10-01 19:00:00,0,"feeling","joy","sensació","","UTF-8",0
"208",117,2017-10-01 19:00:00,0,"feeling","surprise","sensació","sensación","UTF-8",0
"209",117,2017-10-01 19:00:00,0,"victory","joy","victòria","victoria","UTF-8",0
"210",117,2017-10-01 19:00:00,0,"victory","trust","victòria","victoria","UTF-8",0
"211",118,2017-10-03 17:00:00,0,"gun","anger","pistola","pistola","UTF-8",0
"212",118,2017-10-03 17:00:00,0,"gun","fear","pistola","pistola","UTF-8",0
"213",118,2017-10-03 17:00:00,0,"law","trust","llei","ley","UTF-8",0
"214",118,2017-10-03 17:00:00,0,"gun","anger","pistola","pistola","UTF-8",0
"215",118,2017-10-03 17:00:00,0,"gun","fear","pistola","pistola","UTF-8",0
"216",120,2017-10-04 20:00:00,0,"interested","disgust","interessat","interesado","UTF-8",0
"217",120,2017-10-04 20:00:00,0,"interested","sadness","interessat","interesado","UTF-8",0
"218",120,2017-10-04 20:00:00,0,"law","trust","llei","ley","UTF-8",0
"219",121,2017-10-18 06:00:00,0,"clown","surprise","pallasso","payaso","UTF-8",0
"220",121,2017-10-18 06:00:00,0,"dictator","fear","dictador","dictador","UTF-8",0
"221",122,2017-10-16 15:00:00,0,"protected","trust","protegit","protegido","UTF-8",0
"222",122,2017-10-16 15:00:00,0,"labor","joy","mà d'obra","labor","UTF-8",0
"223",122,2017-10-16 15:00:00,0,"labor","surprise","mà d'obra","labor","UTF-8",0
"224",122,2017-10-16 15:00:00,0,"law","trust","llei","ley","UTF-8",0
"225",123,2017-10-01 09:00:00,3,"chant","joy","cant","canto","UTF-8",1.38629436111989
"226",123,2017-10-01 09:00:00,3,"chant","surprise","cant","canto","UTF-8",1.38629436111989
"227",124,2017-10-13 00:00:00,4,"justice","trust","justícia","justicia","UTF-8",1.6094379124341
"228",124,2017-10-13 00:00:00,4,"injustice","anger","injustícia","injusticia","UTF-8",1.6094379124341
"229",126,2017-10-03 17:00:00,0,"law","trust","llei","ley","UTF-8",0
"230",130,2017-10-17 11:00:00,0,"accused","anger","acusat","acusado","UTF-8",0
"231",130,2017-10-17 11:00:00,0,"accused","fear","acusat","acusado","UTF-8",0
"232",131,2017-10-05 19:00:00,0,"law","trust","llei","ley","UTF-8",0
"233",133,2017-10-11 07:00:00,8,"good","joy","bo","bueno","UTF-8",2.19722457733622
"234",133,2017-10-11 07:00:00,8,"good","surprise","bo","bueno","UTF-8",2.19722457733622
"235",135,2017-10-01 16:00:00,7,"injured","fear","lesionat","lesionado","UTF-8",2.07944154167984
"236",135,2017-10-01 16:00:00,7,"injured","sadness","lesionat","lesionado","UTF-8",2.07944154167984
"237",135,2017-10-01 16:00:00,7,"violence","anger","violència","violencia","UTF-8",2.07944154167984
"238",135,2017-10-01 16:00:00,7,"violence","fear","violència","violencia","UTF-8",2.07944154167984
"239",135,2017-10-01 16:00:00,7,"violence","sadness","violència","violencia","UTF-8",2.07944154167984
"240",136,2017-10-19 12:00:00,0,"law","trust","llei","ley","UTF-8",0
"241",136,2017-10-19 12:00:00,0,"leave","surprise","sortir","salir","UTF-8",0
"242",138,2017-10-12 16:00:00,4,"law","trust","llei","ley","UTF-8",1.6094379124341
"243",139,2017-10-10 12:00:00,0,"labor","joy","mà d'obra","labor","UTF-8",0
"244",139,2017-10-10 12:00:00,0,"labor","surprise","mà d'obra","labor","UTF-8",0
"245",139,2017-10-10 12:00:00,0,"law","trust","llei","ley","UTF-8",0
"246",139,2017-10-10 12:00:00,0,"forced","fear","forçat","forzado","UTF-8",0
"247",139,2017-10-10 12:00:00,0,"labor","joy","mà d'obra","labor","UTF-8",0
"248",139,2017-10-10 12:00:00,0,"labor","surprise","mà d'obra","labor","UTF-8",0
"249",139,2017-10-10 12:00:00,0,"discrimination","anger","discriminació","discriminación","UTF-8",0
"250",139,2017-10-10 12:00:00,0,"discrimination","disgust","discriminació","discriminación","UTF-8",0
"251",139,2017-10-10 12:00:00,0,"discrimination","fear","discriminació","discriminación","UTF-8",0
"252",139,2017-10-10 12:00:00,0,"discrimination","sadness","discriminació","discriminación","UTF-8",0
"253",139,2017-10-10 12:00:00,0,"child","joy","nen","niño","UTF-8",0
"254",141,2017-10-01 21:00:00,0,"serenity","joy","serenitat","serenidad","UTF-8",0
"255",141,2017-10-01 21:00:00,0,"serenity","trust","serenitat","serenidad","UTF-8",0
"256",141,2017-10-01 21:00:00,0,"credibility","trust","credibilitat","credibilidad","UTF-8",0
"257",141,2017-10-01 21:00:00,0,"shot","anger","tret","Disparo","UTF-8",0
"258",141,2017-10-01 21:00:00,0,"shot","fear","tret","Disparo","UTF-8",0
"259",141,2017-10-01 21:00:00,0,"shot","sadness","tret","Disparo","UTF-8",0
"260",141,2017-10-01 21:00:00,0,"shot","surprise","tret","Disparo","UTF-8",0
"261",142,2017-10-19 15:00:00,0,"threat","anger","amenaça","amenaza","UTF-8",0
"262",142,2017-10-19 15:00:00,0,"threat","fear","amenaça","amenaza","UTF-8",0
"263",142,2017-10-19 15:00:00,0,"leader","trust","líder","líder","UTF-8",0
"264",143,2017-10-03 03:00:00,13,"prepared","anticipation","preparat","preparado","UTF-8",2.63905732961526
"265",143,2017-10-03 03:00:00,13,"prepared","trust","preparat","preparado","UTF-8",2.63905732961526
"266",144,2017-10-01 14:00:00,543,"insurrection","anger","insurrecció","insurrección","UTF-8",6.29894924685594
"267",145,2017-10-04 16:00:00,31,"military","fear","militar","militar","UTF-8",3.46573590279973
"268",146,2017-10-03 22:00:00,0,"strike","anger","vaga","Huelga","UTF-8",0
"269",147,2017-10-01 23:00:00,0,"victory","joy","victòria","victoria","UTF-8",0
"270",147,2017-10-01 23:00:00,0,"victory","trust","victòria","victoria","UTF-8",0
"271",147,2017-10-01 23:00:00,0,"winner","anticipation","guanyador","ganador","UTF-8",0
"272",147,2017-10-01 23:00:00,0,"winner","joy","guanyador","ganador","UTF-8",0
"273",147,2017-10-01 23:00:00,0,"winner","surprise","guanyador","ganador","UTF-8",0
"274",148,2017-10-15 13:00:00,0,"law","trust","llei","ley","UTF-8",0
"275",149,2017-10-07 10:00:00,1,"law","trust","llei","ley","UTF-8",0.693147180559945
"276",149,2017-10-07 10:00:00,1,"confidential","trust","confidencial","confidencial","UTF-8",0.693147180559945
"277",151,2017-10-10 08:00:00,0,"destination","anticipation","destí","destino","UTF-8",0
"278",151,2017-10-10 08:00:00,0,"destination","joy","destí","destino","UTF-8",0
"279",151,2017-10-10 08:00:00,0,"destination","sadness","destí","destino","UTF-8",0
"280",151,2017-10-10 08:00:00,0,"destination","surprise","destí","destino","UTF-8",0
"281",152,2017-10-13 11:00:00,0,"instructions","trust","instruccions","instrucciones","UTF-8",0
"282",152,2017-10-13 11:00:00,0,"law","trust","llei","ley","UTF-8",0
"283",153,2017-10-17 14:00:00,0,"worrying","anticipation","preocupant","preocupante","UTF-8",0
"284",153,2017-10-17 14:00:00,0,"worrying","fear","preocupant","preocupante","UTF-8",0
"285",153,2017-10-17 14:00:00,0,"worrying","sadness","preocupant","preocupante","UTF-8",0
"286",153,2017-10-17 14:00:00,0,"leave","surprise","sortir","salir","UTF-8",0
"287",154,2017-10-15 14:00:00,0,"law","trust","llei","ley","UTF-8",0
"288",154,2017-10-15 14:00:00,0,"screaming","anger","cridant","gritando","UTF-8",0
"289",154,2017-10-15 14:00:00,0,"screaming","disgust","cridant","gritando","UTF-8",0
"290",154,2017-10-15 14:00:00,0,"screaming","fear","cridant","gritando","UTF-8",0
"291",154,2017-10-15 14:00:00,0,"love","joy","amor","amor","UTF-8",0
"292",155,2017-10-06 19:00:00,1,"successful","joy","reeixit","exitoso","UTF-8",0.693147180559945
"293",155,2017-10-06 19:00:00,1,"successful","trust","reeixit","exitoso","UTF-8",0.693147180559945
"294",155,2017-10-06 19:00:00,1,"communication","trust","comunicació","comunicación","UTF-8",0.693147180559945
"295",155,2017-10-06 19:00:00,1,"law","trust","llei","ley","UTF-8",0.693147180559945
"296",156,2017-10-10 21:00:00,1,"inspired","joy","inspirador","inspirado","UTF-8",0.693147180559945
"297",156,2017-10-10 21:00:00,1,"inspired","surprise","inspirador","inspirado","UTF-8",0.693147180559945
"298",156,2017-10-10 21:00:00,1,"inspired","trust","inspirador","inspirado","UTF-8",0.693147180559945
"299",157,2017-10-10 10:00:00,0,"departure","sadness","sortida","salida","UTF-8",0
"300",158,2017-10-04 02:00:00,0,"broke","fear","trencar","rompió","UTF-8",0
"301",158,2017-10-04 02:00:00,0,"broke","sadness","trencar","rompió","UTF-8",0
"302",158,2017-10-04 02:00:00,0,"inadmissible","anger","inadmissible","inadmisible","UTF-8",0
"303",158,2017-10-04 02:00:00,0,"inadmissible","disgust","inadmissible","inadmisible","UTF-8",0
"304",158,2017-10-04 02:00:00,0,"loyalty","trust","lleialtat","lealtad","UTF-8",0
"305",159,2017-10-14 23:00:00,1,"law","trust","llei","ley","UTF-8",0.693147180559945
"306",160,2017-10-10 11:00:00,1,"partnership","trust","associació","asociación","UTF-8",0.693147180559945
"307",162,2017-10-04 17:00:00,1,"violence","anger","violència","violencia","UTF-8",0.693147180559945
"308",162,2017-10-04 17:00:00,1,"violence","fear","violència","violencia","UTF-8",0.693147180559945
"309",162,2017-10-04 17:00:00,1,"violence","sadness","violència","violencia","UTF-8",0.693147180559945
